X,Y,fid,stop_name
685574.5232,7465059.6531,112,Grande Templo Israelita
686855.9042,7465466.9219,113,Ponto Regulador: Carioca :: Linha 226
686727.0676,7465419.7845,114,Ponto Regulador: Carioca :: Linha 249
687414.9512,7465290.5343,115,Igreja de Santa Luzia
687102.8555,7465854.8267,116,Castelo :: Linha 2110
687138.0243,7465877.6492,117,Ponto Final: Castelo :: Linha 2111
686931.3476,7464931.042,118,Marrecas
686629.7199,7465429.8491,119,CAIXA Cultural - BNDES
686611.1585,7465422.3258,120,CAIXA Cultural - BNDES
687641.095,7465324.2732,121,Franklin Roosevelt :: Pista Central
687191.6641,7465801.3385,122,Terminal Rodoviário Menezes Cortes
687625.7909,7465397.2297,123,Terminal Churchill
687061.504,7465829.8656,124,Ponto Final: Castelo :: Linha 306
686328.9058,7465913.1326,125,"BRS 1,4: Buenos Aires"
686382.0574,7465780.3464,126,"BRS 2,3,5,I: Luis de Camões"
686660.2808,7465660.9482,127,"BRS 1,2,3,4,5,I: Uruguaiana"
686908.7501,7465674.4863,128,"BRS 1,2,3,4,5,I: Largo da Carioca"
685871.7288,7465449.172,129,"BRS 4,I: Praça da República I"
686739.1176,7465398.592,130,BRS 4: República do Paraguai
687619.6207,7465330.078,131,Franklin Roosevelt :: Pista Lateral
686613.7294,7465381.3148,132,Terminal Jamil Amiden
686414.9584,7465486.7732,133,Ponto Final: Tiradentes :: Rua Pedro I
687277.2991,7465607.8949,134,Ponto Final: Castelo :: Ônibus Executivos (Linhas para a Ilha do Governador)
687015.552,7465019.71,135,Ponto Regulador: Passeio :: Linha 247
686365.8537,7465415.3893,136,Ponto Final: Tiradentes :: Rua do Senado
686798.4028,7466126.6237,137,"BRS 1,2: Alfândega"
686881.4949,7465876.3973,138,"BRS 1,2: Sete de Setembro"
687130.4698,7466095.9298,139,"BRS 1,2,3,4,5,I: Ouvidor"
685051.976,7465535.6663,140,Terreirão do Samba
687631.5895,7465401.477,141,Terminal Churchill :: Plataforma Norte
687421.601,7465222.8912,142,Academia Brasileira de Letras
685233.0298,7465239.9478,143,ACADEPOL - Academia de Polícia
686632.5448,7465359.5958,144,Catedral Metropolitana
685815.7392,7465218.3854,145,Senado
687985.8273,7464969.2203,146,Aeroporto Santos Dumont
687606.2695,7465485.855,147,Ponto Regulador: Castelo :: Linha 265
686586.5041,7466175.2074,148,Ponto Final: Candelária :: Linhas para Zona Norte
686029.8874,7466044.1881,149,"BRS 4,5: Tomé de Sousa"
685843.4216,7465983.3551,150,"BRS 1,2,3: Tomé de Sousa"
685409.3559,7465762.5338,151,"BRS 1,2,3: Central"
685665.0836,7465849.1009,152,"BRS 5,I: Praça da República"
686975.8146,7466450.046,153,Visconde de Inhaúma
685713.776,7465478.5836,154,"Ponto Final: Praça da República :: Linhas 371, 383 e LECD62"
687616.9705,7465389.2542,155,Terminal Churchill :: Plataforma Sul
685405.1076,7465859.3848,156,Terminal Procópio Ferreira :: Plat. Sul
686426.6748,7466103.0874,157,Ponto Final: Candelária :: Linha 328
686446.8578,7466183.6888,158,Ponto Final: Candelária :: Linha 388
686606.8753,7466237.7534,159,Ponto Final: Candelária :: Linha 369
686579.2629,7466228.5698,160,Ponto Final: Candelária :: Linha 392
685423.4109,7465879.3172,161,Terminal Procópio Ferreira
684980.8727,7464841.0053,162,"BRS 1,2,3,4,I: Marquês de Sapucaí"
683653.7026,7464455.1863,163,Professor Quintino do Vale
683736.4717,7463670.0469,164,Santa Alexandrina
683468.5608,7464500.6328,165,"BRS 2,4,5,I: Barão de Ubá"
683287.9269,7464157.2802,166,Barão de Sertório
683155.87,7463927.4114,167,Conselheiro Barros
684062.8561,7463598.507,168,Itapiru
683387.9114,7463689.7954,169,Casa de Portugal
684392.4188,7463107.6081,170,Flor de Maio
684085.6232,7463530.6695,171,Hospital Alemão do Amparo
684874.5592,7463951.8491,172,Coroa
684281.4663,7463640.0275,173,Helênico Atlético Clube
684629.6288,7463638.0944,174,Galvão
684233.2391,7463286.5382,175,Vila Anchieta
684745.8543,7463746.317,176,Fallet
684860.9655,7463956.0029,177,Coroa
684944.0036,7464176.9353,178,Doutor Agra
685015.441,7464146.1556,179,Itapiru
684807.1466,7463808.6956,180,Fallet
683716.5745,7464226.2695,181,Edifício Jardim Tijuca
683630.4368,7462713.3245,182,Paula Ramos
683938.4278,7463809.6811,183,Costa Ferraz
684129.7082,7463780.4337,184,Caetano Martins
684464.1494,7463637.7938,185,Igreja Batista Shalom
686125.3085,7466002.365,186,"BRS 1,4: Passos"
684283.1472,7463660.0533,187,Helênico Atlético Clube
685035.8475,7464304.2832,188,Cemitério São Francisco de Paula
685069.3382,7464525.3798,189,Catumbi
685163.8955,7464622.7903,190,Itapiru
685017.3167,7464792.6021,191,Frei Caneca
685092.5444,7464577.1494,192,Itapiru
683732.1778,7463435.5242,193,Torre de Furnas
685172.7882,7464227.29,194,Praça Jardineira
684211.7536,7463299.6481,195,Vila Anchieta
684436.3757,7463623.2926,196,Igreja Batista Shalom
683685.0425,7462960.0817,197,Hospital Central do Corpo de Bombeiros
686213.3099,7466032.8446,198,"BRS 2,3,5,I: Passos"
687870.0742,7465429.0784,199,Comando Aéreo Leste
683785.7068,7463837.7916,200,Aristides Lobo
684153.5997,7465065.2116,201,Pinto de Azevedo
684822.313,7465465.3834,202,Marquês de Sapucaí
684960.0457,7464648.5493,203,Emilia Guimarães
683631.2796,7464720.1586,204,"BRS 1,2,4,6: Paulo de Frontin"
683555.3485,7464466.3512,205,Batista das Neves
684549.3016,7464870.6564,206,"BRS 1,2,4,I: Viscondessa de Piracinunga"
684385.6742,7464997.8082,207,"BRS 1,2,4,I: Reverendo Álvaro Reis"
683586.8783,7464443.8169,208,Batista das Neves
683593.1168,7464282.0417,209,Barão de Itapagipe
683571.4151,7464117.3948,210,Antônio Pedro Galiazzi
683451.3798,7463931.5722,211,Japeri
683582.9073,7463780.4552,212,Paróquia Nossa Senhora das Dores
683614.6513,7463775.6386,213,Paróquia Nossa Senhora das Dores
683720.6813,7463552.8411,214,Cândido de Oliveira
683622.4545,7463573.9731,215,Estrela
683591.6018,7463567.7036,216,Bispo
683635.2267,7462938.095,217,Hospital Central do Corpo de Bombeiros
683633.6599,7463146.3299,218,Condomínio do Edifício Chácara Rio
683664.5253,7463153.7066,219,Condomínio do Edifício Chácara Rio
683632.1873,7463362.3163,220,Unicarioca
683599.7556,7463394.8296,221,Unicarioca
684055.3701,7464834.6039,222,"BRS 1,2,4,I: Largo do Estácio"
683687.992,7463732.6593,223,Ponto Final: Rio Comprido :: Praça Condessa Paulo de Frontin (Linha 711)
683328.8606,7463811.234,224,Ponto Final: Rio Comprido :: Sampaio Viana
683048.6971,7467017.5978,225,INTO :: Pista Lateral
682722.7545,7465606.133,226,Ceará
684653.3283,7465155.1274,227,Santa Maria
683979.7309,7465026.0218,228,Estação Estácio :: Linha 133
683608.6837,7463942.7267,229,Sampaio Viana
683711.1324,7463148.0441,230,"Santa Alexandrina, 565"
684485.5167,7465359.8586,231,Hospital Escola São Francisco de Assis
684589.9626,7465342.9651,232,Estação Praça Onze
684655.2997,7464897.0478,233,Frei Caneca
684683.3788,7465514.7082,234,"BRS 1,2,3: Praça Onze"
683842.675,7462174.8021,235,Dom Joaquim Mamede
683556.0273,7462575.4572,236,Ponto Final: Santa Alexandrina :: 201
684670.8271,7465578.988,237,"BRS 4,5: Praça Onze"
684536.6581,7465531.4547,238,"BRS 1,2,3: Praça Onze"
684015.8366,7465361.8277,239,"BRS 4,5: Cidade Nova"
683980.9212,7465350.8459,240,"BRS 1,2,3: Cidade Nova"
684662.757,7465590.2728,241,"BRS 3,5: Praça Onze"
684601.9735,7465569.9733,242,BRS 4: Praça Onze
684521.6175,7465543.2677,243,"BRS 1,2,3: Praça Onze"
683997.5414,7465376.0056,244,"BRS 2,4: Cidade Nova"
683951.3714,7465359.1803,245,"BRS 1,3,5: Cidade Nova"
684504.4896,7465468.2756,246,"BRS 4,5: Praça Onze"
684741.2419,7465547.8905,247,"BRS 1,2,3: Praça Onze"
684042.2477,7465289.6269,248,"BRS 1,3,5: Cidade Nova"
684079.3334,7465301.9111,249,"BRS 2,4: Cidade Nova"
684789.4765,7465548.8506,250,"BRS 4,5: Praça Onze"
684240.901,7465282.8834,251,Visconde de Duprat
